t y_t y_t_1 y_t_hat epsilon_t
1 0.4967 0 -0.6588 1.1555
2 0.3088 0.4967 0.3561 -0.0473
3 0.7915 0.3088 0.1910 0.6005
4 2.1922 0.7915 0.6150 1.5772
5 1.5381 2.1922 1.8452 -0.3072
6 0.6185 1.5381 1.2707 -0.6523
7 1.8801 0.6185 0.4630 1.4170
8 2.3692 1.8801 1.5711 0.7982
9 1.1823 2.3692 2.0007 -0.8184
10 1.1111 1.1823 0.9582 0.1529
11 0.3660 1.1111 0.8957 -0.5297
12 -0.3852 0.3660 0.2413 -0.6264
13 -0.1288 -0.3852 -0.4185 0.2896
14 -1.9180 -0.1288 -0.1933 -1.7247
15 -3.4497 -1.9180 -1.7648 -1.6849
16 -3.1496 -3.4497 -3.1101 -0.0395
17 -3.0713 -3.1496 -2.8465 -0.2248
18 -1.8324 -3.0713 -2.7777 0.9453
19 -1.9132 -1.8324 -1.6895 -0.2236
20 -2.8326 -1.9132 -1.7605 -1.0721










