t y_t y_t_1 epsilon_t_1 y_t_hat epsilon_t
1 0.4967 0 0 -0.4789 0.9756
2 0.3088 0.4967 0.5510 0.3367 -0.0279
3 0.7915 0.3088 0.3525 0.0368 0.7547
4 2.1922 0.7915 0.9539 0.8870 1.3052
5 1.5381 2.1922 1.4834 2.2929 -0.7548
6 0.6185 1.5381 -0.3092 0.2876 0.3309
7 1.8801 0.6185 0.6770 0.5287 1.3513
8 2.3692 1.8801 1.6515 2.2293 0.1399
9 1.1823 2.3692 0.5043 1.5576 -0.3753
10 1.1111 1.1823 0.0048 0.3219 0.7892
11 0.3660 1.1111 1.1425 1.2669 -0.9009
12 -0.3852 0.3660 -0.5171 -0.6836 0.2985
13 -0.1288 -0.3852 0.6647 -0.1583 0.0295
14 -1.9180 -0.1288 0.3988 -0.2176 -1.7004
15 -3.4497 -1.9180 -1.3193 -2.9227 -0.5270
16 -3.1496 -3.4497 -0.1546 -2.9382 -0.2114
17 -3.0713 -3.1496 0.1591 -2.4622 -0.6091
18 -1.8324 -3.0713 -0.2376 -2.7557 0.9233
19 -1.9132 -1.8324 1.2910 -0.5868 -1.3264
20 -2.8326 -1.9132 -0.9544 -2.6010 -0.2316
